tweet_id,user_id,topic,text,retweet_count,like_count,reply_count,hashtag_count,mention_count
66,423,Tech,New research on Tech just dropped -- fascinating.,2,9,1,0,3
67,24,Fashion,Excited about the latest developments in Fashion.,10,9,2,3,3
68,338,Fashion,This Fashion trend is changing everything.,0,8,1,1,3
69,3,Travel,Just published a new post on Travel!,1,32,0,4,3
70,430,Fashion,Sharing my Fashion predictions for this year.,5,15,1,4,1
71,355,Fashion,What do you think about Fashion? Let me know.,2,9,1,5,1
72,54,Finance,My experience with Finance so far this month.,3,23,1,4,2
73,259,Finance,Cannot believe what is happening in Finance.,2,5,2,4,1
74,141,Finance,New research on Finance just dropped -- fascinating.,9,7,1,2,3
75,413,Sports,What do you think about Sports? Let me know.,4,6,0,3,2
76,432,Travel,New research on Travel just dropped -- fascinating.,3,5,0,5,1
77,103,Tech,My experience with Tech so far this month.,2,26,1,5,2
78,352,Gaming,What do you think about Gaming? Let me know.,1,11,1,5,1
79,258,Travel,New research on Travel just dropped -- fascinating.,1,22,2,5,0
80,390,Gaming,This Gaming trend is changing everything.,3,4,9,3,3
81,346,Travel,Hot take on Travel -- long thread incoming.,6,14,0,3,0
82,268,Politics,Just published a new post on Politics!,1,6,1,3,1
83,28,AI,Big news in the AI world today!,0,5,0,2,1
84,147,Music,What do you think about Music? Let me know.,13,0,1,0,2
85,105,Travel,Just published a new post on Travel!,16,37,1,2,3
86,53,Fashion,This Fashion trend is changing everything.,0,2,3,1,3
87,122,Travel,Hot take on Travel -- long thread incoming.,0,2,2,5,0
88,475,Finance,Cannot believe what is happening in Finance.,0,3,1,3,2
89,495,Travel,Just published a new post on Travel!,1,6,0,0,2
90,104,Fashion,Sharing my Fashion predictions for this year.,0,18,3,1,2
91,387,Fashion,This Fashion trend is changing everything.,5,14,0,5,1
92,398,Tech,Hot take on Tech -- long thread incoming.,1,7,0,3,1
93,350,Politics,What do you think about Politics? Let me know.,10,8,1,1,0
94,194,AI,Cannot believe what is happening in AI.,1,22,3,2,2
95,67,Sports,My experience with Sports so far this month.,3,9,0,2,0
96,170,Health,What do you think about Health? Let me know.,2,7,0,0,1
97,476,Gaming,My experience with Gaming so far this month.,1,11,0,0,2
98,252,Fashion,This Fashion trend is changing everything.,0,13,3,2,0
99,402,Gaming,This Gaming trend is changing everything.,2,4,0,1,1
100,267,Politics,This Politics trend is changing everything.,6,3,0,1,3
101,279,Travel,Cannot believe what is happening in Travel.,3,6,3,0,2
102,114,Tech,New research on Tech just dropped -- fascinating.,0,1,2,2,2
103,151,Tech,My experience with Tech so far this month.,2,7,0,4,3
104,288,AI,Excited about the latest developments in AI.,4,11,2,5,2
105,229,Tech,My experience with Tech so far this month.,3,14,5,4,1
106,491,AI,New research on AI just dropped -- fascinating.,12,8,0,3,0
107,198,Music,This Music trend is changing everything.,8,7,0,5,2
108,13,Travel,New research on Travel just dropped -- fascinating.,5,9,2,4,3
109,250,AI,Hot take on AI -- long thread incoming.,0,23,5,5,1
110,165,Travel,Excited about the latest developments in Travel.,0,11,5,0,1
111,498,Travel,This Travel trend is changing everything.,1,26,0,0,0
112,108,Tech,Cannot believe what is happening in Tech.,6,7,0,0,1
113,276,Finance,Excited about the latest developments in Finance.,12,11,0,5,1
114,13,Health,New research on Health just dropped -- fascinating.,6,2,1,0,0
115,38,AI,What do you think about AI? Let me know.,1,9,3,2,0
116,295,Tech,Hot take on Tech -- long thread incoming.,5,9,3,3,3
117,231,Finance,Cannot believe what is happening in Finance.,5,21,2,2,0
118,200,Politics,This Politics trend is changing everything.,8,17,0,0,0
119,388,Fashion,Just published a new post on Fashion!,1,24,5,5,0
120,184,Travel,Excited about the latest developments in Travel.,0,6,11,2,2
121,311,Politics,Hot take on Politics -- long thread incoming.,4,5,0,3,3
122,203,AI,Sharing my AI predictions for this year.,2,69,0,1,1
123,70,Finance,This Finance trend is changing everything.,6,17,1,2,1
124,153,Gaming,Just published a new post on Gaming!,1,5,2,4,1
125,64,AI,Just published a new post on AI!,9,15,0,4,3
126,276,Travel,Excited about the latest developments in Travel.,5,10,3,2,1
127,384,Gaming,Big news in the Gaming world today!,3,11,1,3,1
128,83,Sports,Big news in the Sports world today!,2,4,1,4,2
129,100,Politics,What do you think about Politics? Let me know.,0,10,0,5,0
130,436,Travel,Sharing my Travel predictions for this year.,0,12,0,5,0
131,149,Politics,Hot take on Politics -- long thread incoming.,7,16,0,0,1
132,372,Fashion,Sharing my Fashion predictions for this year.,0,1,0,2,2
133,66,Tech,Excited about the latest developments in Tech.,3,32,0,2,0
134,461,Tech,New research on Tech just dropped -- fascinating.,1,13,1,3,3
135,169,Fashion,Hot take on Fashion -- long thread incoming.,2,15,2,5,1
136,290,Fashion,New research on Fashion just dropped -- fascinating.,7,2,0,2,3
137,87,AI,New research on AI just dropped -- fascinating.,0,16,0,1,1
138,365,Finance,Hot take on Finance -- long thread incoming.,4,30,0,2,1
139,348,Gaming,Sharing my Gaming predictions for this year.,1,3,0,3,3
140,184,Music,Sharing my Music predictions for this year.,0,2,2,4,0
141,90,Fashion,Excited about the latest developments in Fashion.,6,1,1,2,1
142,457,Travel,Big news in the Travel world today!,6,7,0,2,0
143,373,Politics,Just published a new post on Politics!,4,13,2,4,0
144,417,Fashion,My experience with Fashion so far this month.,1,24,0,3,1
145,465,AI,This AI trend is changing everything.,8,10,0,2,3
146,335,Sports,New research on Sports just dropped -- fascinating.,4,2,0,3,1
147,457,Fashion,Hot take on Fashion -- long thread incoming.,0,14,1,1,3
148,257,Travel,Excited about the latest developments in Travel.,10,7,0,3,2
149,258,AI,Big news in the AI world today!,1,16,0,4,1
150,388,Travel,What do you think about Travel? Let me know.,6,9,2,3,1
151,92,Fashion,My experience with Fashion so far this month.,0,43,2,5,1
152,377,Health,New research on Health just dropped -- fascinating.,0,5,2,0,1
153,390,Health,Big news in the Health world today!,1,3,0,0,2
154,190,Tech,Just published a new post on Tech!,14,8,0,5,1
155,266,Gaming,Cannot believe what is happening in Gaming.,15,43,2,3,3
156,452,AI,Just published a new post on AI!,4,24,3,5,2
157,53,Travel,Hot take on Travel -- long thread incoming.,4,15,1,5,2
158,297,Travel,My experience with Travel so far this month.,16,0,2,1,3
159,335,Finance,New research on Finance just dropped -- fascinating.,12,11,6,4,0
160,265,Music,Cannot believe what is happening in Music.,0,23,4,1,3
161,181,Gaming,Sharing my Gaming predictions for this year.,2,7,0,3,0
162,257,Sports,Sharing my Sports predictions for this year.,4,11,0,1,1
163,40,Travel,Hot take on Travel -- long thread incoming.,1,7,6,1,1
164,96,Sports,New research on Sports just dropped -- fascinating.,7,18,3,4,0
165,339,Tech,Cannot believe what is happening in Tech.,6,3,1,2,0
166,247,Health,Sharing my Health predictions for this year.,2,7,0,1,1
167,332,Finance,Just published a new post on Finance!,0,3,0,1,0
168,66,Fashion,My experience with Fashion so far this month.,1,15,3,1,1
169,323,Travel,Just published a new post on Travel!,13,5,4,4,1
170,29,Sports,Hot take on Sports -- long thread incoming.,0,12,0,1,3
171,307,Fashion,Just published a new post on Fashion!,0,10,1,5,2
172,485,Politics,Big news in the Politics world today!,1,8,0,3,3
173,445,Health,What do you think about Health? Let me know.,5,19,5,1,3
174,308,Sports,My experience with Sports so far this month.,2,5,1,1,2
175,86,Gaming,Sharing my Gaming predictions for this year.,10,19,1,4,0
176,118,Finance,Cannot believe what is happening in Finance.,5,10,1,1,0
177,9,Tech,This Tech trend is changing everything.,9,13,0,4,3
178,424,Sports,My experience with Sports so far this month.,0,13,5,0,1
179,244,Fashion,My experience with Fashion so far this month.,3,31,3,0,0
180,48,Health,What do you think about Health? Let me know.,2,8,0,4,0
181,460,Finance,This Finance trend is changing everything.,6,12,1,3,2
182,448,AI,This AI trend is changing everything.,10,10,0,3,1
183,481,Health,Cannot believe what is happening in Health.,2,5,1,2,0
184,218,Sports,Hot take on Sports -- long thread incoming.,2,5,0,3,1
185,466,Politics,Hot take on Politics -- long thread incoming.,4,4,0,4,3
186,132,Tech,Just published a new post on Tech!,5,14,2,5,0
187,296,Travel,Excited about the latest developments in Travel.,6,9,0,4,0
188,193,Tech,New research on Tech just dropped -- fascinating.,0,7,0,3,2
189,55,Sports,Cannot believe what is happening in Sports.,2,0,0,5,2
190,134,Travel,Cannot believe what is happening in Travel.,3,9,1,4,2
191,314,Music,Cannot believe what is happening in Music.,4,11,1,1,3
192,283,Travel,Sharing my Travel predictions for this year.,1,8,2,1,2
193,287,Travel,Sharing my Travel predictions for this year.,7,10,7,2,2
194,296,Gaming,Cannot believe what is happening in Gaming.,1,12,2,5,1
195,438,Politics,Big news in the Politics world today!,1,8,5,3,1
196,52,Tech,This Tech trend is changing everything.,4,11,1,3,2
197,411,Travel,My experience with Travel so far this month.,14,2,2,5,0
198,83,Finance,Just published a new post on Finance!,0,5,0,0,1
199,242,Fashion,Cannot believe what is happening in Fashion.,8,7,0,0,0
200,135,Tech,New research on Tech just dropped -- fascinating.,5,7,3,0,0
201,371,Finance,Cannot believe what is happening in Finance.,1,6,0,4,2
202,365,Fashion,Just published a new post on Fashion!,3,6,0,1,3
203,225,AI,Big news in the AI world today!,0,3,1,5,2
204,100,AI,My experience with AI so far this month.,0,4,0,4,1
205,315,Sports,Just published a new post on Sports!,10,9,1,2,1
206,336,AI,What do you think about AI? Let me know.,0,16,3,0,2
207,400,Finance,New research on Finance just dropped -- fascinating.,0,7,0,5,3
208,208,Fashion,Big news in the Fashion world today!,7,9,2,4,0
209,378,Politics,Excited about the latest developments in Politics.,1,9,9,4,2
210,372,Travel,My experience with Travel so far this month.,5,17,0,2,2
211,494,Music,Big news in the Music world today!,3,5,0,4,1
212,233,Finance,My experience with Finance so far this month.,2,5,0,0,2
213,90,Finance,This Finance trend is changing everything.,1,15,0,0,0
214,258,Music,New research on Music just dropped -- fascinating.,10,4,3,0,2
215,449,Travel,My experience with Travel so far this month.,1,3,0,2,3
216,495,Finance,My experience with Finance so far this month.,2,7,0,3,1
217,388,Gaming,Sharing my Gaming predictions for this year.,0,18,2,5,3
218,460,Fashion,Just published a new post on Fashion!,2,13,8,3,0
219,133,Politics,Cannot believe what is happening in Politics.,19,13,0,5,1
220,347,Tech,New research on Tech just dropped -- fascinating.,6,9,6,3,2
221,265,Travel,Just published a new post on Travel!,11,4,10,5,2
222,128,Music,Excited about the latest developments in Music.,5,18,1,3,2
223,39,Travel,What do you think about Travel? Let me know.,14,11,3,3,2
224,182,Tech,My experience with Tech so far this month.,0,15,0,2,1
225,485,Tech,Sharing my Tech predictions for this year.,10,8,2,5,1
226,121,Tech,Hot take on Tech -- long thread incoming.,2,15,0,1,1
227,104,Tech,My experience with Tech so far this month.,1,19,1,2,1
228,399,Politics,Excited about the latest developments in Politics.,1,4,1,0,3
229,315,AI,This AI trend is changing everything.,5,3,1,0,3
230,191,Fashion,New research on Fashion just dropped -- fascinating.,6,4,0,3,2
231,252,Sports,This Sports trend is changing everything.,3,4,1,2,3
232,114,Fashion,What do you think about Fashion? Let me know.,1,8,1,0,3
233,245,Travel,Just published a new post on Travel!,11,12,1,4,2
234,202,Sports,Sharing my Sports predictions for this year.,0,10,2,0,3
235,162,AI,Just published a new post on AI!,2,18,0,5,1
236,195,Fashion,Excited about the latest developments in Fashion.,8,25,1,2,2
237,314,Music,What do you think about Music? Let me know.,1,6,4,4,2
238,122,Music,Sharing my Music predictions for this year.,3,5,1,4,2
239,188,Sports,Sharing my Sports predictions for this year.,2,9,2,3,1
240,215,Gaming,New research on Gaming just dropped -- fascinating.,3,18,1,3,2
241,231,Sports,My experience with Sports so far this month.,1,5,0,1,1
242,417,Politics,Hot take on Politics -- long thread incoming.,9,4,0,1,3
243,439,Finance,Big news in the Finance world today!,2,7,0,1,1
244,243,AI,What do you think about AI? Let me know.,3,15,0,3,3
245,69,Travel,This Travel trend is changing everything.,5,23,0,5,2
246,403,Health,Hot take on Health -- long thread incoming.,1,12,2,2,0
247,204,Politics,What do you think about Politics? Let me know.,4,3,4,0,1
248,417,Music,Sharing my Music predictions for this year.,6,6,0,5,0
249,231,Gaming,Hot take on Gaming -- long thread incoming.,3,17,1,2,2
250,287,Travel,Hot take on Travel -- long thread incoming.,0,5,0,2,0
251,211,Politics,New research on Politics just dropped -- fascinating.,4,5,0,5,1
252,296,Fashion,This Fashion trend is changing everything.,7,8,0,1,2
253,182,Gaming,This Gaming trend is changing everything.,1,18,2,3,3
254,456,Politics,Cannot believe what is happening in Politics.,1,18,1,4,2
255,238,Sports,What do you think about Sports? Let me know.,1,11,0,5,2
256,216,Fashion,My experience with Fashion so far this month.,1,8,1,3,0
257,41,Sports,New research on Sports just dropped -- fascinating.,1,8,1,1,2
258,163,Music,Hot take on Music -- long thread incoming.,9,9,4,4,3
259,139,Health,New research on Health just dropped -- fascinating.,0,10,6,5,3
260,212,Sports,What do you think about Sports? Let me know.,18,7,2,0,1
261,373,Tech,Hot take on Tech -- long thread incoming.,4,16,2,5,0
262,108,Sports,Cannot believe what is happening in Sports.,6,20,0,0,0
263,33,Health,This Health trend is changing everything.,4,15,2,0,0
264,395,Finance,This Finance trend is changing everything.,0,11,0,0,0
265,135,Fashion,What do you think about Fashion? Let me know.,2,16,3,0,3
266,159,Tech,Big news in the Tech world today!,8,23,3,5,2
267,227,Sports,What do you think about Sports? Let me know.,0,14,0,4,1
268,15,AI,New research on AI just dropped -- fascinating.,4,32,2,2,3
269,240,Travel,Hot take on Travel -- long thread incoming.,8,14,2,4,3
270,70,Travel,What do you think about Travel? Let me know.,20,10,0,4,3
271,324,Fashion,Cannot believe what is happening in Fashion.,14,14,0,4,2
272,466,Gaming,Sharing my Gaming predictions for this year.,1,8,0,4,1
273,413,Politics,Sharing my Politics predictions for this year.,1,20,1,2,2
274,212,Music,What do you think about Music? Let me know.,2,11,4,2,0
275,1,Travel,What do you think about Travel? Let me know.,1,4,1,2,2
276,241,Travel,Just published a new post on Travel!,5,4,0,5,3
277,485,Health,Hot take on Health -- long thread incoming.,4,9,2,0,3
278,409,Music,My experience with Music so far this month.,1,17,1,1,0
279,281,Gaming,Big news in the Gaming world today!,15,3,0,3,3
280,203,Tech,What do you think about Tech? Let me know.,0,5,1,5,3
281,425,Finance,Big news in the Finance world today!,1,17,3,2,0
282,217,Tech,This Tech trend is changing everything.,3,25,1,4,2
283,146,Travel,Hot take on Travel -- long thread incoming.,5,0,5,3,1
284,437,Politics,What do you think about Politics? Let me know.,2,8,0,1,2
285,57,Health,My experience with Health so far this month.,10,12,4,3,2
286,359,Fashion,Sharing my Fashion predictions for this year.,0,21,2,1,2
287,10,Sports,Just published a new post on Sports!,4,45,0,4,0
288,96,Politics,Hot take on Politics -- long thread incoming.,8,8,0,2,1
289,367,Health,Just published a new post on Health!,7,5,0,1,0
290,78,AI,Sharing my AI predictions for this year.,3,16,1,1,2
291,216,Music,Sharing my Music predictions for this year.,1,1,0,2,3
292,357,AI,New research on AI just dropped -- fascinating.,0,7,0,0,1
293,29,Music,Cannot believe what is happening in Music.,8,7,0,0,3
294,93,Tech,Hot take on Tech -- long thread incoming.,0,9,1,3,0
295,63,Tech,Cannot believe what is happening in Tech.,0,9,0,3,1
296,378,AI,Big news in the AI world today!,9,13,1,3,0
297,267,Tech,Sharing my Tech predictions for this year.,2,13,5,3,2
298,480,Gaming,What do you think about Gaming? Let me know.,6,6,0,5,0
299,382,Travel,This Travel trend is changing everything.,0,18,0,0,2
300,247,Music,Big news in the Music world today!,0,10,5,2,0
301,443,Tech,Excited about the latest developments in Tech.,1,11,1,1,3
302,167,AI,What do you think about AI? Let me know.,5,8,0,2,0
303,203,Tech,Just published a new post on Tech!,0,0,0,0,3
304,353,Fashion,What do you think about Fashion? Let me know.,5,8,0,2,0
305,128,Sports,Sharing my Sports predictions for this year.,1,52,4,0,2
306,477,AI,Just published a new post on AI!,2,16,1,2,1
307,360,Travel,Excited about the latest developments in Travel.,5,1,0,1,3
308,120,Gaming,This Gaming trend is changing everything.,3,6,2,5,2
309,413,Health,Big news in the Health world today!,6,25,0,0,3
310,184,Sports,Hot take on Sports -- long thread incoming.,5,3,0,0,3
311,362,Health,This Health trend is changing everything.,0,35,0,2,3
312,98,Fashion,What do you think about Fashion? Let me know.,4,2,0,4,2
313,166,Health,Hot take on Health -- long thread incoming.,2,1,1,4,1
314,36,Travel,What do you think about Travel? Let me know.,1,7,0,3,2
315,420,Music,This Music trend is changing everything.,5,5,0,2,3
316,1,Travel,Cannot believe what is happening in Travel.,0,2,6,5,1
317,453,AI,My experience with AI so far this month.,10,6,0,2,1
318,165,Politics,This Politics trend is changing everything.,6,2,2,3,1
319,269,Health,This Health trend is changing everything.,16,8,3,1,2
320,166,Finance,New research on Finance just dropped -- fascinating.,11,24,0,0,0
321,268,Politics,Just published a new post on Politics!,16,11,2,1,1
322,448,AI,Big news in the AI world today!,4,7,5,0,3
323,99,Politics,Just published a new post on Politics!,0,12,0,4,3
324,337,Health,This Health trend is changing everything.,1,6,6,4,2
325,26,Gaming,Big news in the Gaming world today!,14,1,1,4,0
326,7,Tech,Sharing my Tech predictions for this year.,5,15,1,0,3
327,411,AI,New research on AI just dropped -- fascinating.,17,1,0,4,3
328,421,Gaming,Just published a new post on Gaming!,4,3,3,4,2
329,271,AI,Excited about the latest developments in AI.,3,25,0,2,0
330,484,Tech,This Tech trend is changing everything.,8,19,0,0,0
331,372,Tech,This Tech trend is changing everything.,15,9,3,3,1
332,99,Travel,Big news in the Travel world today!,2,3,1,4,1
333,286,Travel,Cannot believe what is happening in Travel.,2,9,0,5,0
334,393,Fashion,New research on Fashion just dropped -- fascinating.,5,18,1,5,3
335,360,Finance,Excited about the latest developments in Finance.,2,6,3,1,1
336,282,Finance,This Finance trend is changing everything.,1,3,3,2,1
337,274,Fashion,Sharing my Fashion predictions for this year.,1,3,5,2,2
338,282,Gaming,New research on Gaming just dropped -- fascinating.,11,11,1,3,3
339,423,Gaming,My experience with Gaming so far this month.,7,6,2,1,1
340,193,Travel,Hot take on Travel -- long thread incoming.,0,17,3,2,3
341,230,Finance,Just published a new post on Finance!,1,12,0,5,0
342,146,Fashion,Just published a new post on Fashion!,4,20,3,4,1
343,456,Music,Just published a new post on Music!,2,4,2,2,1
344,110,Gaming,Just published a new post on Gaming!,1,6,0,5,2
345,471,Travel,This Travel trend is changing everything.,2,11,0,4,1
346,49,AI,Sharing my AI predictions for this year.,2,17,2,2,1
347,71,Music,New research on Music just dropped -- fascinating.,7,16,1,4,1
348,120,Music,Hot take on Music -- long thread incoming.,1,9,2,0,3
349,292,Tech,Excited about the latest developments in Tech.,2,1,0,5,2
350,406,Health,What do you think about Health? Let me know.,6,15,2,3,0
351,305,Music,Just published a new post on Music!,4,9,3,5,3
352,41,AI,New research on AI just dropped -- fascinating.,1,17,0,2,3
353,214,Politics,Big news in the Politics world today!,7,6,1,5,0
354,325,Finance,Just published a new post on Finance!,13,3,0,2,0
355,164,Travel,My experience with Travel so far this month.,5,2,4,1,2
356,258,Tech,What do you think about Tech? Let me know.,0,4,3,0,3
357,498,Health,My experience with Health so far this month.,1,23,0,4,0
358,114,Finance,Hot take on Finance -- long thread incoming.,2,3,1,3,1
359,68,Gaming,Excited about the latest developments in Gaming.,8,36,0,3,0
360,281,Finance,Hot take on Finance -- long thread incoming.,1,8,0,0,3
361,257,Finance,What do you think about Finance? Let me know.,6,21,0,1,3
362,287,Tech,Sharing my Tech predictions for this year.,3,28,3,3,1
363,288,Fashion,This Fashion trend is changing everything.,0,5,2,1,1
364,37,Music,Cannot believe what is happening in Music.,3,18,0,2,0
365,58,Finance,Cannot believe what is happening in Finance.,7,32,6,2,2
366,98,Gaming,New research on Gaming just dropped -- fascinating.,1,2,1,4,0
367,395,Music,What do you think about Music? Let me know.,4,9,0,2,3
368,320,Sports,Sharing my Sports predictions for this year.,2,19,2,0,1
369,103,Gaming,What do you think about Gaming? Let me know.,0,29,3,5,0
370,58,AI,Big news in the AI world today!,5,3,0,4,1
371,445,Music,Just published a new post on Music!,2,2,1,2,0
372,157,Health,Sharing my Health predictions for this year.,0,16,0,0,2
373,108,Travel,Big news in the Travel world today!,3,3,1,1,2
374,281,Health,My experience with Health so far this month.,11,1,2,5,1
375,356,AI,Cannot believe what is happening in AI.,0,5,0,4,0
376,131,Sports,Just published a new post on Sports!,3,14,2,2,1
377,405,Fashion,Hot take on Fashion -- long thread incoming.,10,3,1,0,3
378,336,AI,Excited about the latest developments in AI.,6,2,1,3,2
379,340,Gaming,Excited about the latest developments in Gaming.,12,1,0,0,2
380,445,Finance,Big news in the Finance world today!,0,10,4,3,0
381,463,Gaming,Sharing my Gaming predictions for this year.,1,9,0,4,0
382,96,Tech,This Tech trend is changing everything.,5,8,12,3,0
383,21,Tech,This Tech trend is changing everything.,0,14,0,2,2
384,251,Finance,What do you think about Finance? Let me know.,0,7,7,0,2
385,351,Gaming,New research on Gaming just dropped -- fascinating.,1,11,1,5,2
386,121,Travel,Hot take on Travel -- long thread incoming.,3,4,2,0,2
387,450,Finance,Just published a new post on Finance!,2,3,2,4,2
388,116,Sports,New research on Sports just dropped -- fascinating.,6,8,3,3,1
389,45,Finance,This Finance trend is changing everything.,13,3,5,5,1
390,214,Tech,My experience with Tech so far this month.,11,3,4,1,3
391,497,Music,My experience with Music so far this month.,11,37,1,2,3
392,278,Sports,Big news in the Sports world today!,0,1,0,5,1
393,298,Travel,Big news in the Travel world today!,9,11,2,1,2
394,353,Travel,What do you think about Travel? Let me know.,29,19,0,3,1
395,336,Fashion,What do you think about Fashion? Let me know.,1,2,0,2,0
396,286,Travel,Excited about the latest developments in Travel.,3,6,2,1,2
397,430,Sports,Just published a new post on Sports!,0,2,1,2,3
398,493,Finance,Hot take on Finance -- long thread incoming.,3,15,2,3,2
399,78,Tech,Excited about the latest developments in Tech.,6,2,0,1,1
400,14,Fashion,My experience with Fashion so far this month.,1,17,0,2,1
401,306,Tech,Big news in the Tech world today!,9,6,1,5,0
402,184,Politics,Sharing my Politics predictions for this year.,1,13,0,1,3
403,365,Gaming,What do you think about Gaming? Let me know.,9,11,0,3,3
404,243,Sports,What do you think about Sports? Let me know.,1,21,0,1,1
405,17,Finance,Just published a new post on Finance!,1,7,0,2,3
406,114,Tech,Big news in the Tech world today!,0,10,2,0,1
407,475,Health,My experience with Health so far this month.,5,6,0,3,2
408,444,Health,Big news in the Health world today!,2,13,2,3,3
409,398,AI,My experience with AI so far this month.,4,3,3,5,3
410,369,Gaming,Cannot believe what is happening in Gaming.,6,5,3,4,0
411,267,Politics,Sharing my Politics predictions for this year.,0,9,1,3,0
412,450,Tech,This Tech trend is changing everything.,13,4,1,4,3
413,377,AI,This AI trend is changing everything.,1,4,7,3,0
414,98,Music,Sharing my Music predictions for this year.,12,4,1,3,2
415,397,Music,Sharing my Music predictions for this year.,9,6,3,1,3
416,151,Fashion,Just published a new post on Fashion!,6,17,1,5,1
417,238,Health,Excited about the latest developments in Health.,0,6,1,5,0
418,93,Fashion,This Fashion trend is changing everything.,1,14,0,1,3
419,212,Gaming,Sharing my Gaming predictions for this year.,7,11,4,0,1
420,233,Fashion,Big news in the Fashion world today!,8,18,0,3,0
421,129,Gaming,What do you think about Gaming? Let me know.,10,3,9,5,0
422,47,Politics,Sharing my Politics predictions for this year.,14,10,0,5,2
423,44,Travel,Cannot believe what is happening in Travel.,8,2,1,5,1
424,194,Travel,Cannot believe what is happening in Travel.,4,24,0,0,1
425,468,Gaming,My experience with Gaming so far this month.,5,13,1,5,1
426,84,Sports,What do you think about Sports? Let me know.,8,3,0,5,0
