user_id,verified,followers_count,following_count,tweet_count,listed_count,account_age_days,follower_following_ratio,tweets_per_day,listed_per_follower,in_degree,out_degree,degree_ratio,pagerank,hits_authority,hits_hub,betweenness,clustering_coef,tweet_count_actual,avg_retweets,avg_likes,avg_replies,avg_hashtags,avg_mentions,total_engagement,influence_score,influential
12,0,10,568,74,8,1674,0.017605633802816902,0.04420549581839905,0.8,0,6,0.0,0.00030000000000000003,-0.0,0.001599134856233324,6.408771730580006e-06,0.6666666666666666,7.0,2.857142857142857,16.285714285714285,1.4285714285714286,2.7142857142857144,1.5714285714285714,20.57142857142857,0.11868442739424007,0
13,0,30,204,79,0,1049,0.14705882352941177,0.07530981887511916,0.0,1,5,0.2,0.0004220973624382829,0.0002137156559055283,0.0013822064289585334,0.0,0.4666666666666667,11.0,3.5454545454545454,11.0,1.2727272727272727,2.4545454545454546,1.7272727272727273,15.818181818181818,0.09182614828336895,0
14,0,30,141,45,11,3989,0.2127659574468085,0.011281022812735022,0.36666666666666664,0,8,0.0,0.00030000000000000003,-0.0,0.0024605796200536465,3.951269400507904e-06,0.8214285714285714,7.0,2.5714285714285716,9.428571428571429,0.5714285714285714,1.1428571428571428,1.5714285714285714,12.571428571428571,0.07274975056859603,0
15,0,10,1031,30,5,1644,0.009699321047526674,0.01824817518248175,0.5,1,9,0.1111111111111111,0.0005919541551313708,0.00023596350791761606,0.0023494724367270074,2.593522658434537e-05,0.4666666666666667,8.0,4.25,13.75,1.75,2.5,1.875,19.75,0.11478472928530052,0
16,0,10,1599,51,18,931,0.006253908692933083,0.05477980665950591,1.8,0,3,0.0,0.00030000000000000003,-0.0,0.0012898995672400305,1.889254686381266e-07,0.6666666666666666,7.0,2.4285714285714284,11.0,2.7142857142857144,1.7142857142857142,1.5714285714285714,16.142857142857142,0.09313195977217209,0
17,1,40,504,42,4,702,0.07936507936507936,0.05982905982905983,0.1,2,8,0.25,0.00037757984798788966,0.0004259788686244826,0.0026759540342068565,1.7006665846514216e-05,0.5777777777777777,9.0,8.222222222222221,10.666666666666666,1.0,2.2222222222222223,2.0,19.888888888888886,0.11530289176342548,0
18,0,10,1814,35,0,468,0.005512679162072767,0.07478632478632478,0.0,3,7,0.42857142857142855,0.0004317667736372759,0.0006908259620763704,0.0017752307346723371,2.6419812585238506e-05,0.4222222222222222,3.0,3.6666666666666665,12.333333333333334,1.3333333333333333,1.0,2.0,17.333333333333332,0.100387345167648,0
19,0,10,647,49,1,2608,0.015455950540958269,0.018788343558282208,0.1,1,7,0.14285714285714285,0.0006217074293096475,0.00021868900127585116,0.0022867102602826556,2.979260691472263e-06,0.6428571428571429,7.0,4.714285714285714,8.428571428571429,0.8571428571428571,3.5714285714285716,1.5714285714285714,14.0,0.0816850868208928,0
20,0,10,1718,61,6,156,0.005820721769499418,0.391025641025641,0.6,0,6,0.0,0.00030000000000000003,-0.0,0.0016829507711839168,5.832047075350864e-07,0.7333333333333333,3.0,3.6666666666666665,9.0,1.3333333333333333,2.3333333333333335,1.0,14.0,0.08076951366363525,0
21,0,10,559,84,1,2282,0.017889087656529516,0.03680981595092025,0.1,0,7,0.0,0.00030000000000000003,-0.0,0.0020550672725576503,8.942472182204659e-07,0.7142857142857143,10.0,2.3,12.2,1.1,1.8,1.8,15.6,0.09000043377220125,0
22,0,20,1256,104,0,2106,0.01592356687898089,0.04938271604938271,0.0,1,7,0.14285714285714285,0.00032833333333333336,0.0003460372956804114,0.00189387565950797,1.519204080954087e-05,0.5,6.0,4.333333333333333,6.5,1.5,2.5,2.6666666666666665,12.333333333333332,0.07135192984159727,0
23,0,10,435,11,2,474,0.022988505747126436,0.023206751054852322,0.2,1,8,0.125,0.004376358923018196,0.00022546410356683735,0.0021416998773776223,2.3813603468537833e-05,0.6111111111111112,6.0,4.5,11.0,0.8333333333333334,2.6666666666666665,1.5,16.333333333333332,0.10582883263885805,0
24,0,10,1647,17,1,995,0.006071645415907711,0.017085427135678392,0.1,0,11,0.0,0.00030000000000000003,-0.0,0.002854642343992393,1.6413842872850434e-05,0.6181818181818182,4.0,3.25,17.25,1.5,3.25,1.25,22.0,0.12693103881558246,1
25,0,10,1804,30,5,3820,0.005543237250554324,0.007853403141361256,0.5,0,5,0.0,0.00030000000000000003,-0.0,0.0019994373844883636,0.0,0.8,3.0,6.666666666666667,16.0,2.3333333333333335,2.0,2.3333333333333335,25.0,0.14423076922744085,1
26,0,90,454,63,0,493,0.19823788546255505,0.12778904665314403,0.0,12,10,1.2,0.0019473426041636565,0.0031239321571853674,0.0030118902175570654,0.00017492218297009441,0.36666666666666664,4.0,5.0,8.0,1.75,2.25,1.75,14.75,0.09074480314483659,0
27,0,10,295,20,4,3381,0.03389830508474576,0.005915409642117717,0.4,1,10,0.1,0.00088754908967321,0.0002490404376182358,0.002379982687316798,5.57840847934357e-05,0.5454545454545454,5.0,3.2,8.4,1.6,2.2,2.2,13.200000000000001,0.0778509361712525,0
28,0,10,791,46,4,2228,0.012642225031605562,0.02064631956912029,0.4,0,9,0.0,0.00030000000000000003,-0.0,0.002194281634406248,4.349122500378946e-06,0.5833333333333334,11.0,2.4545454545454546,8.0,1.2727272727272727,3.0,1.4545454545454546,11.727272727272728,0.06765945229328965,0
29,0,10,1664,47,0,2317,0.006009615384615385,0.02028485110056107,0.0,5,7,0.7142857142857143,0.00047608312346470594,0.0013309158417713295,0.0013168330939505287,6.44503688044935e-05,0.30303030303030304,6.0,5.333333333333333,22.333333333333332,0.8333333333333334,2.1666666666666665,2.0,28.499999999999996,0.16495483302080666,1
30,0,60,710,28,8,2343,0.08450704225352113,0.01195049082373026,0.13333333333333333,2,5,0.4,0.0004762047820068842,0.000514799006117729,0.0012613942806909782,6.029515738137272e-05,0.42857142857142855,4.0,2.0,12.0,2.0,4.0,1.0,16.0,0.09338868211046551,0
31,0,10,699,18,16,3795,0.01430615164520744,0.0047430830039525695,1.6,2,8,0.25,0.00043386291252812324,0.0003729388675148401,0.0026846681786717817,0.0,0.5555555555555556,6.0,2.8333333333333335,10.0,1.3333333333333333,3.3333333333333335,1.5,14.166666666666668,0.08211125688583429,0
32,0,60,1544,35,4,3206,0.038860103626943004,0.010917030567685589,0.06666666666666667,6,8,0.75,0.0017859394224086218,0.0013196099016197897,0.0021613007381780184,0.00012040302556705275,0.32967032967032966,10.0,3.3,11.2,1.1,1.9,1.1,15.6,0.09483289425683984,0
33,0,10,1899,63,1,3534,0.0052659294365455505,0.017826825127334467,0.1,1,10,0.1,0.000333617572804686,0.00019702347010461864,0.0019787068191911505,6.0926675615424424e-05,0.45454545454545453,5.0,3.2,9.8,1.4,3.2,1.0,14.4,0.08320203041149686,0
34,0,10,1961,33,3,942,0.005099439061703213,0.03503184713375796,0.3,1,7,0.14285714285714285,0.00033642857142857145,0.00019216257333047314,0.002220322355126077,0.0,0.5357142857142857,11.0,3.0,11.545454545454545,1.8181818181818181,1.9090909090909092,1.2727272727272727,16.363636363636363,0.09450913780858433,0
35,0,10,1496,34,2,526,0.0066844919786096255,0.06463878326996197,0.2,0,11,0.0,0.00030000000000000003,-0.0,0.0018917052542077022,3.72282068026498e-05,0.43636363636363634,7.0,5.571428571428571,9.714285714285714,2.0,1.5714285714285714,2.0,17.285714285714285,0.09974333308335086,0
36,0,150,950,64,0,1493,0.15789473684210525,0.042866711319490956,0.0,15,13,1.1538461538461537,0.0043057594317438405,0.003666427953590058,0.00271744404340078,0.0006151601898298126,0.24867724867724866,5.0,2.2,9.2,1.0,2.8,2.0,12.399999999999999,0.08476523062784208,0
37,0,10,114,27,12,1801,0.08771929824561403,0.014991671293725709,1.2,0,7,0.0,0.00030000000000000003,-0.0,0.0017747724817592072,0.0,0.5238095238095238,6.0,6.166666666666667,13.833333333333334,1.5,3.0,1.1666666666666667,21.5,0.12403846153559914,0
38,0,50,1086,62,1,2762,0.04604051565377532,0.022447501810282405,0.02,5,12,0.4166666666666667,0.00047088182298544144,0.0014022332336660259,0.0027830051152745176,0.00011504713115303326,0.4264705882352941,5.0,5.4,14.2,1.2,1.8,0.6,20.8,0.1209822379463867,0
39,0,60,262,27,7,187,0.22900763358778625,0.1443850267379679,0.11666666666666667,6,9,0.6666666666666666,0.006221253241173847,0.0012355553674918008,0.0020776620400741997,7.963590852259756e-05,0.32967032967032966,5.0,6.4,8.8,1.8,3.6,2.2,17.0,0.11549683634892773,0
40,0,20,291,35,3,201,0.06872852233676977,0.17412935323383086,0.15,4,8,0.5,0.000496309049671586,0.0009084747388397476,0.0018227222891450145,7.944447198575582e-05,0.3333333333333333,9.0,3.5555555555555554,11.777777777777779,2.3333333333333335,1.5555555555555556,1.8888888888888888,17.666666666666668,0.102629776463185,0
41,0,10,542,58,5,523,0.01845018450184502,0.11089866156787763,0.5,4,9,0.4444444444444444,0.0014088840553479255,0.0008312991335426663,0.002312947646560502,0.00016371665876694063,0.3974358974358974,6.0,1.3333333333333333,7.0,1.5,2.1666666666666665,1.1666666666666667,9.833333333333334,0.05996204013302768,0
42,0,10,1286,33,15,999,0.007776049766718507,0.03303303303303303,1.5,1,10,0.1,0.00042559608266030024,0.0003175386090455696,0.002087413856470239,6.460698922613641e-05,0.4909090909090909,2.0,5.5,3.5,3.5,4.5,0.5,12.5,0.07250371393898347,0
43,0,10,1766,41,1,1364,0.0056625141562853904,0.030058651026392963,0.1,1,4,0.25,0.0004220973624382829,0.0002137156559055283,0.0010401067556658518,0.0,0.5,6.0,1.1666666666666667,7.833333333333333,1.0,3.0,2.0,10.0,0.058039353325025994,0
44,0,190,387,40,2,1456,0.4909560723514212,0.027472527472527472,0.010526315789473684,23,11,2.090909090909091,0.0020129513670098455,0.005133969656044108,0.0025189593067291146,0.001522052794422447,0.17290552584670232,5.0,8.6,15.4,1.6,3.0,1.6,25.6,0.15528270352721185,1
45,0,10,222,15,2,1722,0.04504504504504504,0.008710801393728223,0.2,2,6,0.3333333333333333,0.00039631935657331624,0.0004569597151822832,0.0016394592527489821,4.270263601774916e-05,0.5357142857142857,9.0,4.333333333333333,12.333333333333334,1.2222222222222223,2.888888888888889,1.2222222222222223,17.88888888888889,0.10349961711086188,0
46,1,10,721,31,9,1823,0.013869625520110958,0.017004936917169502,0.9,1,6,0.16666666666666666,0.0003847358939559312,0.00018775404932680167,0.0019100018917943382,9.996237601349759e-06,0.6666666666666666,4.0,2.25,8.25,1.25,1.75,1.5,11.75,0.06803416102393044,0
47,0,10,213,27,10,2753,0.046948356807511735,0.00980748274609517,1.0,1,12,0.08333333333333333,0.00033642857142857145,0.00020012904733294223,0.0023134032546388433,6.107383251416054e-05,0.3974358974358974,8.0,4.125,15.75,0.75,2.875,1.5,20.625,0.11912355322331387,0
48,0,70,514,48,5,688,0.13618677042801555,0.06976744186046512,0.07142857142857142,8,10,0.8,0.001009500251465673,0.0018590273024387694,0.0023315769287742343,0.00010536626057559758,0.35294117647058826,9.0,2.5555555555555554,7.222222222222222,1.0,2.4444444444444446,1.8888888888888888,10.777777777777779,0.0649083423779838,0
49,0,160,1044,65,4,2980,0.1532567049808429,0.02181208053691275,0.025,20,7,2.857142857142857,0.007909401523308863,0.005012862562921916,0.0011023238735259557,0.0003712288634034011,0.12307692307692308,7.0,4.714285714285714,12.714285714285714,1.0,3.4285714285714284,1.7142857142857142,18.428571428571427,0.12978018376006586,1
50,0,10,546,87,4,695,0.018315018315018316,0.1251798561151079,0.4,1,8,0.125,0.0003253729001943731,0.0002504316081009541,0.0017375244267119221,2.7088238651928273e-05,0.5555555555555556,4.0,5.5,3.25,3.5,2.5,1.25,12.25,0.07075833578648828,0
51,0,10,749,41,2,3564,0.01335113484646195,0.011503928170594837,0.2,1,9,0.1111111111111111,0.0006951351727538277,0.0001735801708672642,0.001821631634035532,1.8140443569615167e-05,0.5111111111111111,6.0,6.166666666666667,16.0,3.0,2.6666666666666665,1.6666666666666667,25.166666666666668,0.1463242266748183,1
52,0,10,444,27,0,396,0.02252252252252252,0.06818181818181818,0.0,1,9,0.1111111111111111,0.0003399747623129875,0.00030426865123367284,0.0016396729953814043,7.468154096871015e-05,0.4,8.0,4.5,11.625,2.125,2.25,0.875,18.25,0.10543831044437217,0
53,0,10,752,52,6,579,0.013297872340425532,0.08981001727115717,0.6,1,11,0.09090909090909091,0.00044651706464899374,0.00021824975065444575,0.002345226652118355,6.303000554231349e-05,0.4393939393939394,8.0,4.375,10.25,1.75,2.25,1.375,16.375,0.09491818334804204,0
54,0,10,1990,82,1,672,0.005025125628140704,0.12202380952380952,0.1,0,4,0.0,0.00030000000000000003,-0.0,0.001316989348194913,4.3115490878486745e-06,0.6666666666666666,7.0,5.428571428571429,9.857142857142858,0.7142857142857143,3.5714285714285716,1.5714285714285714,16.0,0.09230978371726044,0
55,0,350,357,29,3,1923,0.9803921568627451,0.015080603224128965,0.008571428571428572,32,9,3.5555555555555554,0.0023761391874021647,0.008270998542546542,0.0023780047809488984,0.0012031921215054822,0.16951219512195123,7.0,4.285714285714286,11.571428571428571,2.2857142857142856,3.142857142857143,2.2857142857142856,18.142857142857142,0.11490125969961776,0
56,0,20,1841,63,6,284,0.010863661053775122,0.22183098591549297,0.3,2,9,0.2222222222222222,0.0003689762412162741,0.0005843422046316458,0.0020787440028865118,5.7170490088746796e-05,0.5272727272727272,8.0,4.375,13.625,0.375,2.25,1.125,18.375,0.10634358374169768,0
57,0,10,232,41,6,237,0.04310344827586207,0.1729957805907173,0.6,0,5,0.0,0.00030000000000000003,-0.0,0.0019661649989208105,0.0,0.9,9.0,2.888888888888889,11.777777777777779,1.3333333333333333,2.888888888888889,1.3333333333333333,16.0,0.09230769230556214,0
58,0,600,678,18,7,2527,0.8849557522123894,0.007123070834982192,0.011666666666666667,59,7,8.428571428571429,0.006935903585277954,0.015154164829321623,0.0021607321055833683,0.004500939250718938,0.10384615384615385,9.0,5.222222222222222,14.0,2.3333333333333335,3.0,1.0,21.555555555555554,0.15190459490432076,1
59,0,20,1867,37,6,124,0.010712372790573112,0.29838709677419356,0.3,5,10,0.5,0.0004753542400431818,0.001224581220357897,0.0025577813368092227,9.354841462827328e-05,0.4095238095238095,3.0,3.6666666666666665,5.666666666666667,1.3333333333333333,0.6666666666666666,1.3333333333333333,10.666666666666668,0.062192441227013506,0
60,0,10,559,36,2,1913,0.017889087656529516,0.01881860951385259,0.2,2,6,0.3333333333333333,0.00046888166188736337,0.0004444465027654698,0.0018191070505486043,0.0,0.4642857142857143,6.0,4.833333333333333,10.0,0.8333333333333334,2.0,1.5,15.666666666666666,0.09086463921153479,0
61,0,30,1781,54,1,2916,0.016844469399213923,0.018518518518518517,0.03333333333333333,3,6,0.5,0.00041449942358265493,0.0006501628929135651,0.0014546149308839985,4.5723711931629774e-05,0.4166666666666667,9.0,3.5555555555555554,5.666666666666667,1.8888888888888888,2.888888888888889,1.1111111111111112,11.11111111111111,0.06467055428162401,0
62,0,10,595,29,6,507,0.01680672268907563,0.05719921104536489,0.6,2,8,0.25,0.002741782880522978,0.0004987048312217142,0.0020917846878058238,7.11558108118691e-05,0.5111111111111111,6.0,5.333333333333333,10.833333333333334,0.5,1.6666666666666667,1.6666666666666667,16.666666666666668,0.10312880732837751,0
63,0,190,1637,39,2,2760,0.11606597434331094,0.014130434782608696,0.010526315789473684,16,6,2.6666666666666665,0.01853906862426166,0.0036024648258694315,0.0016926695651255652,0.0004905952218074728,0.21578947368421053,4.0,1.25,9.0,0.25,3.25,0.5,10.5,0.1146402943446039,0
64,0,10,673,33,4,791,0.014858841010401188,0.041719342604298354,0.4,0,6,0.0,0.00030000000000000003,-0.0,0.001543129840238125,8.790499526934272e-06,0.6666666666666666,9.0,5.444444444444445,12.222222222222221,0.5555555555555556,3.111111111111111,1.8888888888888888,18.22222222222222,0.10513246915088235,0
65,0,2010,1837,10,6,219,1.0941752857920524,0.045662100456621,0.0029850746268656717,163,6,27.166666666666668,0.028779820202774826,0.04162776077122107,0.0018809724792495897,0.03498845631180124,0.05388841927303466,5.0,0.8,10.8,2.8,2.4,1.8,14.400000000000002,0.20303511165541469,1
66,0,10,643,16,4,2788,0.015552099533437015,0.005738880918220947,0.4,1,7,0.14285714285714285,0.00034250000000000003,0.00018496835544097278,0.0022348543179795993,2.106835174103658e-05,0.5357142857142857,12.0,3.25,14.75,1.4166666666666667,1.9166666666666667,1.6666666666666667,19.416666666666668,0.11215025107332512,0
67,0,10,793,71,3,1537,0.012610340479192938,0.04619388418998048,0.3,2,6,0.3333333333333333,0.0003515380885046243,0.0005593324930694503,0.0015795115651561224,3.0319814466420934e-05,0.4642857142857143,4.0,2.75,13.0,4.25,2.0,0.25,20.0,0.11554581288748283,0
68,0,30,1300,35,2,1786,0.023076923076923078,0.01959686450167973,0.06666666666666667,4,11,0.36363636363636365,0.00047072111895928443,0.0007861542851834385,0.002706253163643833,0.00011996331990374931,0.4380952380952381,10.0,4.6,13.1,0.9,2.0,1.0,18.599999999999998,0.108071496787172,0
69,0,10,1818,56,6,1589,0.005500550055005501,0.03524229074889868,0.6,2,5,0.4,0.0003599428817535496,0.0005257405096312477,0.0015448766020437965,1.8555629778074665e-05,0.47619047619047616,6.0,3.3333333333333335,12.333333333333334,1.8333333333333333,4.333333333333333,1.3333333333333333,17.5,0.1011409190035065,0
70,1,10,1806,44,19,785,0.005537098560354375,0.05605095541401274,1.9,0,9,0.0,0.00030000000000000003,-0.0,0.0016502181957847143,1.8982741460945953e-06,0.4444444444444444,5.0,10.8,19.0,1.0,2.6,2.4,30.8,0.17769322848782576,1
71,0,10,1509,29,2,1476,0.0066269052352551355,0.01964769647696477,0.2,0,12,0.0,0.00030000000000000003,-0.0,0.0022754908677265913,6.429390406585118e-05,0.4393939393939394,6.0,6.5,13.666666666666666,1.5,2.6666666666666665,1.3333333333333333,21.666666666666664,0.12503118716913927,0
72,0,40,1998,74,6,865,0.02002002002002002,0.08554913294797688,0.15,4,10,0.4,0.000895050683644618,0.0010450618854041496,0.001848020374396971,0.00011908724616776641,0.37362637362637363,7.0,2.5714285714285716,16.142857142857142,1.5714285714285714,3.5714285714285716,1.5714285714285714,20.28571428571429,0.11911262801949135,0
73,0,20,1495,41,7,1693,0.013377926421404682,0.024217365623154165,0.35,3,8,0.375,0.0007716171053861058,0.000799248547692506,0.0022848363475247145,4.025998191565401e-05,0.4909090909090909,5.0,7.8,7.4,0.8,2.4,0.6,16.0,0.09377791135300657,0
74,0,30,603,56,17,1658,0.04975124378109453,0.033775633293124246,0.5666666666666667,4,9,0.4444444444444444,0.00048362720503403774,0.0008916969659636986,0.001573932133438138,0.0001410855454009734,0.32051282051282054,7.0,2.857142857142857,13.0,2.142857142857143,2.5714285714285716,2.2857142857142856,18.0,0.10465688797155046,0
75,0,40,70,43,11,1865,0.5714285714285714,0.023056300268096516,0.275,1,5,0.2,0.0003655499583124801,0.00021610504018478548,0.0022139702201544624,0.0,0.8,5.0,3.8,9.4,0.8,2.0,1.2,14.0,0.08128608995931949,0
76,0,310,603,64,4,162,0.5140961857379768,0.3950617283950617,0.012903225806451613,26,9,2.888888888888889,0.006034715379036218,0.006441067324522713,0.001162601914725973,0.0011171869647389405,0.09982174688057041,8.0,4.0,9.5,1.625,2.625,1.375,15.125,0.10740712377419687,0
77,0,10,446,34,0,84,0.02242152466367713,0.40476190476190477,0.0,1,8,0.125,0.00034531935657331625,0.00027079002208856077,0.0019023069444124281,7.1815682544582756e-06,0.5277777777777778,5.0,1.8,7.4,1.4,2.0,0.2,10.600000000000001,0.061286144018268804,0
78,0,10,674,118,3,539,0.01483679525222552,0.2189239332096475,0.3,1,5,0.2,0.00040377450071048195,0.00032272669903264233,0.0015375735768981325,1.564932631885815e-05,0.6666666666666666,8.0,3.625,9.875,0.5,2.75,1.375,14.0,0.0810717871357154,0
79,0,80,154,81,5,699,0.5194805194805194,0.11587982832618025,0.0625,6,11,0.5454545454545454,0.0014689430443328368,0.0011594046993762843,0.002227842569330562,0.00012028249516196583,0.3602941176470588,9.0,3.3333333333333335,11.444444444444445,1.6666666666666667,2.6666666666666665,1.2222222222222223,16.444444444444446,0.09902397169887367,0
80,0,20,241,43,0,3642,0.08298755186721991,0.011806699615595826,0.0,0,10,0.0,0.00030000000000000003,-0.0,0.0017048165344161587,6.89080034202082e-05,0.37777777777777777,3.0,5.0,12.0,2.0,1.6666666666666667,1.3333333333333333,19.0,0.10975899065157925,0
81,0,10,66,52,10,2487,0.15151515151515152,0.020908725371934056,1.0,1,8,0.125,0.00033451630623637245,0.000281112260075102,0.0019088423951819837,2.5268383510406327e-05,0.6111111111111112,1.0,0.0,4.0,3.0,5.0,1.0,7.0,0.04049498041257752,0
82,0,10,1193,27,13,3312,0.008382229673093043,0.008152173913043478,1.3,0,9,0.0,0.00030000000000000003,-0.0,0.0021057845997987934,2.182880389092009e-05,0.4722222222222222,7.0,2.4285714285714284,9.714285714285714,1.1428571428571428,2.5714285714285716,2.0,13.285714285714285,0.07665894018793701,0
83,0,30,442,37,0,1719,0.06787330316742081,0.02152414194299011,0.0,3,5,0.6,0.0003864982531432276,0.0008400011151226254,0.0015033906670162216,1.1976525244024097e-05,0.39285714285714285,4.0,1.5,5.0,0.75,2.5,1.75,7.25,0.04229895381107578,0
84,0,10,474,60,4,1346,0.02109704641350211,0.04457652303120357,0.4,1,7,0.14285714285714285,0.0003520508195205497,0.00022148332148993842,0.0017777940542103568,1.4978640905192805e-05,0.6428571428571429,7.0,3.5714285714285716,7.857142857142857,0.14285714285714285,3.2857142857142856,1.0,11.571428571428571,0.06691345505885958,0
85,0,30,178,85,0,3064,0.16853932584269662,0.027741514360313316,0.0,3,10,0.3,0.000519603999632505,0.0007115585901966058,0.0024346877321375186,0.00016223483192466623,0.44871794871794873,3.0,9.0,6.666666666666667,3.3333333333333335,1.0,1.6666666666666667,19.0,0.11053863695633058,0
86,0,10,1203,19,4,763,0.00831255195344971,0.02490170380078637,0.4,1,10,0.1,0.00033703465188482303,0.00014460072378895818,0.0017962316618441027,6.768259807135415e-05,0.32727272727272727,6.0,4.0,11.166666666666666,1.3333333333333333,2.6666666666666665,1.5,16.5,0.09533040473153506,0
87,0,10,621,46,8,3216,0.01610305958132045,0.014303482587064677,0.8,1,6,0.16666666666666666,0.0003684035649902306,0.0001843023499853095,0.0013461195590633982,2.8783582336471242e-05,0.5238095238095238,8.0,3.25,12.75,2.5,2.625,1.0,18.5,0.10693915944107395,0
88,0,20,1633,9,3,1723,0.01224739742804654,0.00522344747533372,0.15,1,5,0.2,0.00033884069162267675,0.0003436181555343107,0.0016441724348143685,3.0220607572272662e-06,0.6,13.0,3.1538461538461537,16.53846153846154,1.6923076923076923,2.6923076923076925,1.8461538461538463,21.384615384615387,0.12359482721399495,0
89,0,30,78,59,4,288,0.38461538461538464,0.2048611111111111,0.13333333333333333,1,11,0.09090909090909091,0.00088754908967321,0.0002490404376182358,0.0018153396874174394,5.966978466193763e-05,0.4696969696969697,3.0,2.0,5.333333333333333,0.3333333333333333,3.6666666666666665,0.0,7.666666666666666,0.04615010548576603,0
90,0,40,1170,40,2,3864,0.03418803418803419,0.010351966873706004,0.05,4,10,0.4,0.0004841250023703833,0.0011506574128984026,0.00230459157177416,7.898828389982122e-05,0.37362637362637363,7.0,3.142857142857143,9.857142857142858,2.142857142857143,1.8571428571428572,0.8571428571428571,15.142857142857142,0.08825484546572565,0
91,0,10,1083,42,3,1175,0.009233610341643583,0.03574468085106383,0.3,0,7,0.0,0.00030000000000000003,-0.0,0.0019495955466267605,2.0149719834441213e-05,0.5238095238095238,10.0,5.2,6.1,1.7,2.6,1.8,13.0,0.07500977406297787,0
92,0,30,291,45,5,328,0.10309278350515463,0.13719512195121952,0.16666666666666666,2,5,0.4,0.00036072829670329674,0.0005368614307207635,0.001059863800293382,1.2423648853134328e-05,0.47619047619047616,9.0,2.7777777777777777,16.666666666666668,1.7777777777777777,3.4444444444444446,1.4444444444444444,21.222222222222225,0.1228348973561689,0
93,1,10,1899,38,0,3876,0.0052659294365455505,0.00980392156862745,0.0,3,9,0.3333333333333333,0.0003936287785302294,0.0008272440969101004,0.0022476949236699935,5.024421896988985e-05,0.5606060606060606,6.0,2.0,16.166666666666668,0.8333333333333334,2.3333333333333335,1.0,19.0,0.1099058841187338,0
